Date mutation;Nature mutation;Surface Carrez du 1er lot;Valeur fonciere;Commune;No voie;Type de voie;Code voie;Voie;Code postal;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;Nombre de lots;Code type local;Type local;Surface reelle bati;Nombre pieces principales;Surface terrain
27/02/2020;Vente;742;1683000 ;GARRIGUES SAINTE EULALIE;5229;RUE;0258;DE LA PRIVADIERE;30190;30;126;;AK;382;;5;742;1;1;Maison;107;2;
27/02/2020;Vente;742;1683000 ;GARRIGUES SAINTE EULALIE;5229;RUE;0258;DE LA PRIVADIERE;30190;30;126;;AK;382;;5;742;1;1;Maison;165;5;
27/02/2020;Vente;742;1683000 ;GARRIGUES SAINTE EULALIE;5229;RUE;0258;DE LA PRIVADIERE;30190;30;126;;AK;382;;5;742;1;1;Maison;98;3;
27/02/2020;Vente;742;1683000 ;GARRIGUES SAINTE EULALIE;5229;RUE;0258;DE LA PRIVADIERE;30190;30;126;;AK;382;;5;742;1;1;Maison;52;2;
27/02/2020;Vente;742;1683000 ;GARRIGUES SAINTE EULALIE;5229;RUE;0258;DE LA PRIVADIERE;30190;30;126;;AK;382;;5;742;1;1;Maison;40;2;
23/04/2020;Vente;570;95000 ;COEUVRES ET VALSERY;5;RUE;0040;FERNAND BAZIN;2600;2;201;;AB;34;;3;570;1;1;Maison;110;6;
19/06/2020;Vente;416;1643570 ;NANTERRE;26;RUE;9150;THOMAS LEMAITRE;92000;92;50;;CO;122;;1;416;2;1;Maison;190;6;
29/06/2020;Vente;408;781423 ;SAUMANE-DE-VAUCLUSE;5081;;B063;TERRE DES PIERRES;84800;84;124;;AC;16;;1;408;1;1;Maison;50;2;
13/01/2020;Vente;399;306600 ;ST-PHILBERT-DE-GRAND-LIEU;36;RUE;0210;DE L HOTEL DE VILLE;44310;44;188;;AX;65;;1;399;1;1;Maison;261;7;
29/06/2020;Vente;350;433202 ;BERSEE;291;RUE;0185;NESTOR LONGUE EPEE;59235;59;71;;A;1000;;2;350;1;1;Maison;352;10;
19/05/2020;Vente;323;280000 ;ROANNE;24;RUE;1630;JEAN MERMOZ;42300;42;187;;AC;171;;52;323;1;1;Maison;52;2;
11/06/2020;Vente;318;490000 ;SAINT-SAUVEUR-SUR-ECOLE;35;VC;0320;RES DE MONTGERMONT;77930;77;435;;AC;1;;35;318;1;1;Maison;185;6;
13/05/2020;Vente;310;56000 ;LURE;3;RUE;0210;DE LA FONT;70200;70;310;;AI;199;;2;310;6;1;Maison;120;4;
23/01/2020;Vente;306;1799800 ;VAUCRESSON;48;AV;0160;DU CLOS TOUTAIN;92420;92;76;;AB;250;;1;306;1;1;Maison;250;6;
06/01/2020;Vente;305;1400000 ;SAINT-MAUR-DES-FOSSES;13;AV;0170;DES ARTS;94100;94;68;;Z;4;;1;305;1;1;Maison;300;9;
13/02/2020;Vente;290;1250000 ;BARBIZON;6;RES;A001;LA CHARBONNIERE;77630;77;22;;AD;73;;48;290;1;1;Maison;274;8;
30/06/2020;Vente;289;970000 ;NICE;93;AV;5471;DE RIMIEZ;6100;6;88;;EV;122;;1;289;1;1;Maison;277;6;
24/03/2020;Vente;277;330000 ;MORIGNY-CHAMPIGNY;22;RUE;0124;DE LA LIBERATION;91150;91;433;;S;268;;1;277;1;1;Maison;325;10;566
27/02/2020;Vente;267;890000 ;ANTIBES;11;AV;0830;COUGOULINS;6600;6;4;;EA;6;;4;267;1;1;Maison;180;6;
28/02/2020;Vente;253;2121150 ;VESINET (LE);9;RTE;0960;DE LA PLAINE;78110;78;650;;AO;213;;1;253;1;1;Maison;249;9;1694
20/01/2020;Vente;250;275000 ;TREGUIER;4;RUE;0068;DE LA CHANTRERIE;22220;22;362;;AC;78;;3;250;1;1;Maison;165;8;
20/01/2020;Vente;248;837200 ;SAINT-LUNAIRE;36;RUE;0729;DE LA ROCHE PELEE;35800;35;287;;AH;98;;2;248;1;1;Maison;230;5;
13/02/2020;Vente;246;650000 ;GOMETZ-LA-VILLE;7;RUE;0048;DE JANVRY;91400;91;274;;D;354;;101;246;1;1;Maison;179;5;
18/06/2020;Vente;245;300000 ;MANOSQUE;9005;AV;0984;DES SAVELS;4100;4;112;;AZ;122;;2;245;1;1;Maison;248;8;1000
18/06/2020;Vente;245;300000 ;MANOSQUE;9005;AV;0984;DES SAVELS;4100;4;112;;AZ;122;;2;245;1;1;Maison;248;8;865
01/06/2020;Vente;245;177650 ;GRETZ-ARMAINVILLIERS;14;AV;0600;DES ERABLES;77220;77;215;;D;2457;;1;245;1;1;Maison;255;6;
02/06/2020;Vente;244;1659300 ;LE CHESNAY-ROCQUENCOURT;1;RUE;0280;DU COLONEL DE BANGE;78150;78;158;;AI;553;;21;244;4;1;Maison;175;3;
20/03/2020;Vente;242;180000 ;MOGNEVILLE;17;RUE;0004;DE LA BRECHE;60140;60;404;;D;509;;2;242;1;1;Maison;122;6;
17/03/2020;Vente;240;410000 ;CHOLET;6;RUE;3252;D OUISTREHAM;49300;49;99;;AK;600;;6;240;1;1;Maison;180;4;
18/05/2020;Vente;239;375000 ;VALENCE;15;RUE;0535;BALZAC;26000;26;362;;CH;158;;4;239;1;1;Maison;215;7;
31/01/2020;Vente;233;561500 ;TALENCE;523;CRS;1640;DE LA LIBERATION;33400;33;522;;BO;354;;2;233;1;1;Maison;127;4;
22/06/2020;Vente;232;480000 ;ECQUEVILLY;4;IMP;0187;DU VAL FLEURI;78920;78;206;;AD;289;;1;232;1;1;Maison;174;6;
30/05/2020;Vente;232;250000 ;COLOMBE LA FOSSE;6;RUE;0021;DU MOULIN;10200;10;102;;B;1173;;2;232;1;1;Maison;168;5;
14/02/2020;Vente;230;520000 ;HOULGATE;24;ALL;0547;DES FOUGERES;14510;14;338;;AI;102;;3;230;1;1;Maison;192;5;1330
27/02/2020;Vente;230;2640000 ;PARIS 16;50;AV;3696;FOCH;75016;75;116;;FA;1;;407;230;2;1;Maison;184;5;
17/01/2020;Vente;228;1083000 ;LE PERREUX-SUR-MARNE;21;RUE;8570;DE LA STATION;94170;94;58;;T;123;;11;228;1;1;Maison;200;6;
09/06/2020;Vente;223;1020000 ;LYON 4EME;6;RUE;1930;DE LA CORNICHE;69004;69;384;;AD;11;;1;223;1;1;Maison;60;2;
02/03/2020;Vente;223;495000 ;ECHENEVEX;88;RUE;0165;DE LA PIERRE;1170;1;153;;AS;71;;1;223;1;1;Maison;170;3;
12/02/2020;Vente;222;549405 ;MESNULS (LES);3;CHE;0520;DU VIEIL ETANG;78490;78;398;;B;1025;;2;222;1;1;Maison;221;7;
03/01/2020;Vente;221;594700 ;COMPIEGNE;59;RUE;1600;DU GENERAL MANGIN;60200;60;159;;AZ;35;;3;221;1;1;Maison;210;8;
04/03/2020;Vente;220;1643820 ;ISSY-LES-MOULINEAUX;3;AV;9652;VICTOR CRESSON;92130;92;40;;AF;15;;57;220;1;1;Maison;172;8;
26/05/2020;Vente;220;619900 ;EVENOS;268;CHE;0270;DE LA COLLE;83330;83;53;;A;1953;;2;220;1;1;Maison;226;7;2186
26/05/2020;Vente;220;619900 ;EVENOS;268;CHE;0270;DE LA COLLE;83330;83;53;;A;1953;;2;220;1;1;Maison;226;7;1000
12/05/2020;Vente;219;3460800 ;PARIS 16;37;RUE;3320;ERLANGER;75016;75;116;;AN;7;;55;219;1;1;Maison;320;7;
26/06/2020;Vente;218;335000 ;VAYRES;357;;B069;SENAU;33870;33;539;;ZC;48;;3;218;1;1;Maison;110;4;1419
26/06/2020;Vente;218;335000 ;VAYRES;357;;B069;SENAU;33870;33;539;;ZC;48;;3;218;1;1;Maison;110;4;990
16/06/2020;Vente;218;900000 ;OLLIOULES;464;CHE;1028;DE VALLON CROS;83190;83;90;;CP;195;;3;218;1;1;Maison;150;4;
04/06/2020;Vente;216;357965 ;ARRAS;6;RUE;0370;DES BALANCES;62000;62;41;;AB;1314;;1;216;1;1;Maison;144;4;
21/01/2020;Vente;213;780000 ;BORDEAUX;25;RUE;6755;DE NUITS;33100;33;63;;BE;114;;1;213;17;1;Maison;180;9;
24/01/2020;Vente;211;329000 ;CHATELET-EN-BRIE (LE);31;ALL;0115;DE LA COMTESSE DE NOAILLES;77820;77;100;;AK;1;;31;211;1;1;Maison;217;8;
31/01/2020;Vente;210;425000 ;MARCILLY-D AZERGUES;98;CHE;0390;DES MULETS;69380;69;125;;A;1066;;4;210;1;1;Maison;140;5;1625
11/05/2020;Vente;209;1025050 ;LYON 3EME;153;;2225;COURS DU DOCTEUR LONG;69003;69;383;;CO;64;;27;209;2;1;Maison;209;7;
09/01/2020;Vente;207;453250 ;ECULLY;6;AV;0190;DU DOC TERVER;69130;69;81;;D;369;;10;207;2;1;Maison;180;3;
16/03/2020;Vente;206;485300 ;VILLE SUR JARNIOUX;348;CHE;0022;DES CEDRES;69640;69;265;;B;898;;1;206;1;1;Maison;240;6;
12/02/2020;Vente;202;790000 ;SAINT-NOM-LA-BRETECHE;21;RUE;0126;CHARLES DE GAULLE;78860;78;571;;AB;140;;1;202;1;1;Maison;110;4;
19/02/2020;Vente;201;637000 ;BIOT;223;BD;0770;DE LA SOURCE;6410;6;18;;AR;44;;13;201;1;1;Maison;227;6;400
19/02/2020;Vente;201;637000 ;BIOT;223;BD;0770;DE LA SOURCE;6410;6;18;;AR;44;;13;201;1;1;Maison;227;6;500
19/02/2020;Vente;201;637000 ;BIOT;223;BD;0770;DE LA SOURCE;6410;6;18;;AR;44;;13;201;1;1;Maison;227;6;1005
19/02/2020;Vente;201;637000 ;BIOT;223;BD;0770;DE LA SOURCE;6410;6;18;;AR;44;;13;201;1;1;Maison;227;6;55
27/02/2020;Vente;198;1505000 ;VERSAILLES;15;RUE;2530;REMILLY;78000;78;646;;AK;48;;1;198;1;1;Maison;200;7;
27/02/2020;Vente;198;1683000 ;GARRIGUES SAINTE EULALIE;5219;RUE;0258;DE LA PRIVADIERE;30190;30;126;;AK;382;;4;198;1;1;Maison;133;5;
02/03/2020;Vente;195;250000 ;BOYNES;1;RUE;0580;DES PETITS BONNETS;45300;45;50;;AD;149;;4;195;1;1;Maison;100;3;
26/06/2020;Vente;195;120000 ;ORBEC;139;RUE;0540;GRANDE;14290;14;478;;AB;539;;4;195;1;1;Maison;58;2;
12/02/2020;Vente;194;613000 ;ORGEVAL;5;ALL;0175;DES BRUYERES;78630;78;466;;AT;34;;43;194;1;1;Maison;186;7;
16/03/2020;Vente;194;498000 ;TRIEL SUR SEINE;30;;0255;DOMAINE DE CHEVERCHEMONT;78510;78;624;;AH;285;;191;194;1;1;Maison;180;7;
12/05/2020;Vente;194;77000 ;BARSAC;5;;B079;GRAND MAYNE;33720;33;30;;C;1119;;1;194;1;1;Maison;95;4;
03/03/2020;Vente;193;574600 ;ORGEVAL;8;ALL;0410;DES COQUELICOTS;78630;78;466;;AT;34;;37;193;1;1;Maison;186;7;
12/03/2020;Vente;193;313000 ;MONTATAIRE;6;RUE;0133;DU PARC DU CHATEAU;60160;60;414;;AW;166;;6;193;1;1;Maison;190;7;731
15/04/2020;Vente;192;424310 ;VILLECRESNES;37;RUE;0080;DE BRUNOY;94440;94;75;;AN;5;;2;192;1;1;Maison;107;3;514
28/04/2020;Vente;191;632065 ;CRESPIERES;30;AV;0120;DU LAC;78121;78;189;;ZA;100;;115;191;1;1;Maison;118;3;
12/02/2020;Vente;191;521750 ;NANTES;22;RUE;0500;BABONEAU;44100;44;109;;HW;297;;234;191;1;1;Maison;181;7;
24/01/2020;Vente;190;950000 ;PECQ (LE);3;ALL;0180;DE LA CAPITAINERIE;78230;78;481;;AP;250;;1;190;1;1;Maison;153;7;475
24/01/2020;Vente;190;950000 ;PECQ (LE);3;ALL;0180;DE LA CAPITAINERIE;78230;78;481;;AP;250;;1;190;1;1;Maison;153;7;500
24/01/2020;Vente;187;488000 ;SETE;343;CHE;0409;DE LA COCCINELLE;34200;34;301;;BN;208;;1;187;1;1;Maison;204;7;885
07/05/2020;Vente;187;185000 ;SAINT-JEAN-DE-MONTS;19;AV;3710;DE LA PLAGE;85160;85;234;;BC;199;;1;187;1;1;Maison;44;2;
15/06/2020;Vente;186;1731387 ;PORTO-VECCHIO;5002;;B187;FOCE INCESA;20137;;247;;F;2435;;2;186;1;1;Maison;207;7;
12/06/2020;Vente;186;1264185 ;MOUANS-SARTOUX;333;ALL;0115;DU DOMAINE;6370;6;84;;AR;4;;61;186;1;1;Maison;96;3;
20/05/2020;Vente;185;568000 ;GIF SUR YVETTE;16;ALL;1240;DE LA GAMBAUDERIE;91190;91;272;;BH;2;;14;185;1;1;Maison;171;8;
07/05/2020;Vente;185;208300 ;CHERBOURG-EN-COTENTIN;41;RUE;0940;GAMBETTA - CHERBOURG;50100;50;129;;AV;20;;2;185;1;1;Maison;96;4;
14/01/2020;Vente;184;766600 ;CARRIERES SUR SEINE;4;RUE;0410;GABRIEL PERI;78420;78;124;;BT;49;;1;184;1;1;Maison;134;5;
05/06/2020;Vente;183;405000 ;BRIE COMTE ROBERT;11;AV;0010;BEAU;77170;77;53;;AX;153;;1;183;3;1;Maison;150;6;
03/03/2020;Vente;181;870000 ;NOISY LE ROI;69;RUE;0020;ANDRE LE BOURBLANC;78590;78;455;;AD;229;;1;181;1;1;Maison;181;6;
03/02/2020;Vente;180;169356 ;CHAZELLES SUR LYON;27;RUE;0290;CLAUDE PROTIERE;42140;42;59;;AC;54;;2;180;1;1;Maison;95;4;
04/02/2020;Vente;180;478600 ;MAURECOURT;21;SEN;0080;DU HAUT DES BUIS;78780;78;382;;AC;1085;;1;180;1;1;Maison;106;5;
15/06/2020;Vente;179;641000 ;MONTLHERY;6;ALL;0439;DES PETITS CHAMPS;91310;91;425;;AD;17;;5;179;1;1;Maison;150;4;
24/01/2020;Vente;179;440000 ;VARENNES-JARCY;14;RES;A040;DOMAINE DES BOIS JARCY;91480;91;631;;AC;127;;14;179;1;1;Maison;180;6;
06/03/2020;Vente;178;1400000 ;LES PORTES-EN-RE;35;RTE;0435;DE LA FILATTE;17880;17;286;;AN;129;;1;178;1;1;Maison;184;6;
06/03/2020;Vente;178;310000 ;ROUBAIX;102;BD;3850;MONTESQUIEU;59100;59;512;;KX;511;;803;178;1;1;Maison;178;5;
28/01/2020;Vente;177;200000 ;CRETEIL;102;ALL;1425;CENTRALE;94000;94;28;;R;104;;2;177;1;1;Maison;135;2;
27/02/2020;Vente;177;200000 ;CRETEIL;102;ALL;1425;CENTRALE;94000;94;28;;R;104;;1;177;1;1;Maison;135;2;
24/06/2020;Vente;176;825000 ;CELLE-SAINT-CLOUD (LA);23;;0144;HAMEAU BOIS FONTAINE;78170;78;126;;AL;489;;223;176;1;1;Maison;175;7;
18/05/2020;Vente;175;216000 ;LE HAVRE;17;SEN;6650;PUVIS DE CHAVANNES;76620;76;351;;OM;578;;2;175;1;1;Maison;115;5;
10/04/2020;Vente;175;872850 ;TASSIN-LA-DEMI-LUNE;51;AV;0440;DU HUIT MAI 1945;69160;69;244;;AK;212;;6;175;1;1;Maison;197;6;
06/03/2020;Vente;175;359000 ;VALENCE;29;RUE;0067;ALBERT VARNET;26000;26;362;;CN;350;;25;175;1;1;Maison;150;5;234
28/02/2020;Vente;174;650000 ;TOURS;12;RUE;1660;EMILE ZOLA;37000;37;261;;DY;125;;11;174;2;1;Maison;187;6;
12/03/2020;Vente;174;625000 ;MARSEILLE 7EME;5;RUE;9244;TURCON;13007;13;207;834;H;36;;1;174;1;1;Maison;140;6;
06/03/2020;Vente;174;228800 ;LES ANGLES;83;RUE;1980;DES LARDIERES;30133;30;11;;AY;182;;1;174;1;1;Maison;137;4;959
13/02/2020;Vente;173;400600 ;SIX-FOURS-LES-PLAGES;99;RES;A315;LA FARANDOLE LES PLAYE;83140;83;129;;CW;86;;2;173;1;1;Maison;157;4;
17/01/2020;Vente;173;593800 ;MOUANS-SARTOUX;55;TRA;0062;DES BRUNETTES;6370;6;84;;BD;69;;1;173;1;1;Maison;141;5;
25/05/2020;Vente;173;2285900 ;PARIS 20;6;RUE;5620;DE LESSEPS;75020;75;120;;CO;26;;1;173;1;1;Maison;120;6;
27/04/2020;Vente;171;697750 ;SAINT-GERMAIN-EN-LAYE;24;BD;0762;FRANZ LISTZ;78100;78;551;;AT;1083;;13;171;1;1;Maison;185;7;
28/05/2020;Vente;170;1159420 ;LE CHESNAY-ROCQUENCOURT;5;RUE;0822;DE LA PEPINIERE;78150;78;158;;AD;102;;2;170;3;1;Maison;166;5;
27/05/2020;Vente;170;452000 ;MOUGINS;100;AV;0859;DE LA PINEDE AUBAREDE;6250;6;85;;CN;97;;1;170;1;1;Maison;93;4;
03/06/2020;Vente;169;579060 ;L'HAY-LES-ROSES;9;RUE;0665;DES BLONDEAUX;94240;94;38;;AG;214;;1;169;1;1;Maison;140;5;441
25/05/2020;Vente;169;458000 ;MONTGERON;23;RUE;0820;DE LA CHATAIGNERAIE;91230;91;421;;AN;107;;1;169;2;1;Maison;100;5;
19/06/2020;Vente;169;720200 ;CHENNEVIERES SUR MARNE;45;RUE;0135;DE CHAMPIGNY;94430;94;19;;AV;247;;1;169;1;1;Maison;162;5;385
05/02/2020;Vente;169;190000 ;LAMBALLE-ARMOR;5;RUE;0540;SAINT MARTIN;22400;22;93;;AK;49;;2;169;1;1;Maison;150;6;
08/02/2020;Vente;168;450000 ;ETIOLLES;20;RUE;0030;DE LA COGNETTE;91450;91;225;;AA;206;;3;168;1;1;Maison;101;5;
03/04/2020;Vente;168;105000 ;SANDILLON;60;RTE;0440;D ORLEANS;45640;45;300;;AM;110;;2;168;1;1;Maison;91;5;
23/06/2020;Vente;168;260000 ;MONTPELLIER;1659;AV;4270;DU PERE SOULAS;34090;34;172;;MT;28;;11;168;1;1;Maison;148;5;
16/06/2020;Vente;168;495050 ;MANDRES-LES-ROSES;4;RUE;0366;DE SERVON;94520;94;47;;AI;223;;1;168;1;1;Maison;139;5;
29/05/2020;Vente;168;605060 ;TROIS ILETS;34;RUE;0067;DES PECHEURS;97229;972;31;;B;930;;601;168;1;1;Maison;131;5;
20/05/2020;Vente;167;577100 ;LESIGNY;24;AV;0310;DU CLOS VIMONT;77150;77;249;;AE;1;;116;167;1;1;Maison;149;5;
21/01/2020;Vente;166;269000 ;CHENNEVIERES SUR MARNE;80;AV;0070;DU BOIS;94430;94;19;;AM;55;;31;166;1;1;Maison;133;7;
11/05/2020;Vente;166;1900000 ;PARIS 14;36;RUE;9342;DE LA TOMBE ISSOIRE;75014;75;114;;BQ;21;;1;166;2;1;Maison;177;4;
10/04/2020;Vente;165;102500 ;REZE;32;RUE;0160;ARISTIDE BRIAND;44400;44;143;;CN;172;;4;165;1;1;Maison;126;6;
12/05/2020;Vente;165;350000 ;LORMONT;11;RUE;0330;DU GENERAL DE GAULLE;33310;33;249;;AZ;773;;1;165;1;1;Maison;156;6;
29/05/2020;Vente;165;770500 ;LA ROQUETTE SUR SIAGNE;505;CHE;0190;DE MEAYNE;6550;6;108;;BA;71;;5;165;1;1;Maison;135;6;
14/02/2020;Vente;165;170000 ;BOULOGNE SUR MER;9;RUE;2900;DES RELIGIEUSES ANGLAISES;62200;62;160;;AK;54;;2;165;1;1;Maison;152;4;
17/06/2020;Vente;164;83500 ;AUBOUE;4;CITE;0320;STE MARIE;54580;54;28;;AE;66;;301;164;13;1;Maison;120;6;
28/01/2020;Vente;164;592487 ;GEX;812;RUE;0755;DES VERTES CAMPAGNES;1170;1;173;;AP;7;;306;164;1;1;Maison;160;6;
20/01/2020;Vente;164;500000 ;LATRESNE;61;CHE;0190;DU PORT DE L HOMME;33360;33;234;;AN;113;;2;164;1;1;Maison;150;3;
09/03/2020;Vente;164;1540000 ;VALLAURIS;9005;CHE;0416;DES GLAIEULS;6220;6;155;;BD;6;;94;164;1;1;Maison;165;3;
30/03/2020;Vente;164;397000 ;CERNAY-LA-VILLE;69;PL;0270;DE LA NIVEROLLE;78720;78;128;;ZE;46;;69;164;1;1;Maison;169;8;
17/06/2020;Vente;164;495000 ;CERNAY-LA-VILLE;7;PL;0218;DU GRIMPEREAU;78720;78;128;;ZE;46;;7;164;1;1;Maison;147;7;
17/06/2020;Vente;164;245000 ;GAINNEVILLE;8;RUE;0122;DE LA VALLEE;76700;76;296;;A;905;;1;164;1;1;Maison;169;6;671
24/03/2020;Vente;163;1000000 ;CHATOU;24;RUE;0980;LABELONYE;78400;78;146;;AT;475;;9;163;1;1;Maison;120;6;
24/04/2020;Vente;163;415000 ;COYE LA FORET;2;RUE;0290;DES NOISETIERS;60580;60;172;;AN;221;;38;163;1;1;Maison;150;6;
26/06/2020;Vente;163;661600 ;JOUY EN JOSAS;4;RUE;0508;DES PICOTEUSES;78350;78;322;;AB;611;;34;163;1;1;Maison;162;8;
20/01/2020;Vente;163;290000 ;BRIGNAIS;186;RUE;0410;GENERAL DE GAULLE;69530;69;27;;BH;118;;1;163;1;1;Maison;130;6;
27/01/2020;Vente;163;1155000 ;GARCHES;19;CHE;0830;DES VIGNES;92380;92;33;;AL;83;;1;163;1;1;Maison;172;6;
20/02/2020;Vente;163;660000 ;FONTENAY-AUX-ROSES;17;RUE;8145;RENE VAUTHIER;92260;92;32;;V;180;;4;163;1;1;Maison;135;5;
04/02/2020;Vente;163;425000 ;SAINTE-GENEVIEVE-DES-BOIS;201;RUE;0760;DE LA CONCORDE;91700;91;549;;AE;141;;1;163;1;1;Maison;148;4;
27/04/2020;Vente;163;343000 ;SAINT-CYR-SOUS-DOURDAN;34;RUE;0209;DES MAISONS HAUTES;91410;91;546;;A;224;;16;163;3;1;Maison;125;4;
25/05/2020;Vente;162;630000 ;FEUCHEROLLES;67;;B057;LE PRE DES COULONS;78810;78;233;;AB;71;;135;162;2;1;Maison;184;7;
02/03/2020;Vente;162;581900 ;MONTFORT-L AMAURY;6;ALL;0755;DES TILLEULS;78490;78;420;;E;185;;23;162;1;1;Maison;130;5;
31/01/2020;Vente;162;176000 ;AMIENS;12;RUE;5555;DE LA MARQUISE DE SEVIGNE;80080;80;21;;MP;249;;12;162;1;1;Maison;104;4;
29/05/2020;Vente;161;220630 ;MAULE;15;RUE;0350;ST VINCENT;78580;78;380;;AC;58;;2;161;1;1;Maison;67;3;
28/01/2020;Vente;161;649000 ;MARSEILLE 9EME;65;BD;5188;LEI ROURE;13009;13;209;853;M;40;;6;161;1;1;Maison;160;6;
18/06/2020;Vente;161;250000 ;MANOSQUE;9160;AV;0984;DES SAVELS;4100;4;112;;AZ;122;;1;161;1;1;Maison;148;5;864
18/06/2020;Vente;161;250000 ;MANOSQUE;9160;AV;0984;DES SAVELS;4100;4;112;;AZ;122;;1;161;1;1;Maison;148;5;1000
26/03/2020;Vente;161;237000 ;PODENSAC;3;PL;0320;GAMBETTA;33720;33;327;;A;1419;;3;161;1;1;Maison;155;4;
28/01/2020;Vente;160;457000 ;PONTAULT COMBAULT;37;RUE;0038;ALFRED DE MUSSET;77340;77;373;;AM;33;;1821;160;1;1;Maison;176;7;
31/03/2020;Vente;160;860100 ;RUEIL-MALMAISON;16;RUE;2330;MAC MAHON;92500;92;63;;AI;606;;4;160;2;1;Maison;85;3;
14/02/2020;Vente;160;587500 ;NEUILLY-PLAISANCE;85;AV;0150;CARNOT;93360;93;49;;B;2387;;2;160;1;1;Maison;134;5;
04/05/2020;Vente;160;335800 ;ITTEVILLE;5;ALL;0138;DES ROCHERS;91760;91;315;;AN;532;;3;160;1;1;Maison;105;4;500
22/01/2020;Vente;159;650000 ;CALUIRE ET CUIRE;105;RTE;1840;DE STRASBOURG;69300;69;34;;AT;245;;10;159;1;1;Maison;159;6;
12/05/2020;Vente;159;209000 ;VEZILLY;8;CHE;0023;DE COULONGES;2130;2;794;;B;169;;1;159;1;1;Maison;180;5;
29/06/2020;Vente;159;380000 ;MANDRES-LES-ROSES;20;RUE;0080;CAZEAUX;94520;94;47;;AO;290;;1;159;1;1;Maison;130;6;476
13/05/2020;Vente;159;325215 ;SAINT-PRIEST;47;;0760;ROUTE D'HEYRIEUX;69800;69;290;;CT;111;;2;159;1;1;Maison;102;4;
04/06/2020;Vente;159;318250 ;LONS;44;ALL;0371;DU BOIS DE LONS;64140;64;348;;AY;221;;10;159;1;1;Maison;103;4;560
24/01/2020;Vente;159;145000 ;ROQUECOURBE;2;IMP;0095;DU PONTET;81210;81;227;;AM;329;;2;159;1;1;Maison;116;3;
18/06/2020;Vente;159;509500 ;MARSEILLE 13EME;23;CHE;1866;DU CAVAOU;13013;13;213;879;D;135;;11;159;2;1;Maison;110;4;
08/06/2020;Vente;159;100000 ;SAINT MARS D OUTILLE;2;;C021;LA ROSELIERE;72220;72;299;;AI;49;;2;159;1;1;Maison;106;6;
04/03/2020;Vente;158;615500 ;MERIGNAC;45;RUE;2670;DE LA SOURCE;33700;33;281;;CK;908;;2;158;1;1;Maison;158;4;
26/02/2020;Vente;158;345600 ;MANDRES-LES-ROSES;18;ALL;0144;DES EGLANTINES;94520;94;47;;AN;40;;10;158;1;1;Maison;133;7;438
