TIME,SEX,AGE,ICD10,Value
2001,Males,9,All causes of death (A00-Y89) excluding S00-T98,277858
2001,Males,73,Certain infectious and parasitic diseases (A00-B99),5347
2001,Males,33,Tuberculosis,545
2001,Males,86,Meningococcal infection,30
2001,Males,3,Viral hepatitis,471
2001,Males,3,Human immunodeficiency virus [HIV] disease,892
2001,Males,92,Neoplasms,91737
2001,Males,38,Malignant neoplasms (C00-C97),88481
2001,Males,50,"Malignant neoplasm of lip, oral cavity, pharynx",3755
2001,Males,65,Malignant neoplasm of oesophagus,3442
2001,Males,40,Malignant neoplasm of stomach,3213
2001,Males,20,Malignant neoplasm of colon,6274
2001,Males,67,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",2242
2001,Males,47,Malignant neoplasm of liver and intrahepatic bile ducts,5258
2001,Males,2,Malignant neoplasm of pancreas,3788
2001,Males,33,"Malignant neoplasm of larynx,  trachea, bronchus and lung",22457
2001,Males,74,Malignant melanoma of skin,761
2001,Males,28,Malignant neoplasm of breast,177
2001,Males,49,Malignant neoplasm of cervix uteri,:
2001,Males,96,Malignant neoplasm of other parts of uterus,:
2001,Males,81,Malignant neoplasm of ovary,:
2001,Males,100,Malignant neoplasm of prostate,9327
2001,Males,27,"Malignant neoplasm of kidney, except renal pelvis",1937
2001,Males,96,Malignant neoplasm of bladder,3231
2001,Males,10,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6863
2001,Males,30,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1000
2001,Males,10,"Endocrine, nutritional and metabolic diseases (E00-E90)",8356
2001,Males,41,Diabetes mellitus,5318
2001,Males,9,Mental and behavioural disorders (F00-F99),7468
2001,Males,61,Mental and behavioural disorders due to use of alcohol,2523
2001,Males,40,"Drug dependence, toxicomania (F11-F16, F18-F19)",127
2001,Males,90,Diseases of the nervous system and the sense organs (G00-H95),9497
2001,Males,79,Meningitis,80
2001,Males,54,Diseases of the circulatory system (I00-I99),75350
2001,Males,45,Ischaemic heart diseases,24913
2001,Males,79,"Other heart diseases (I30-I33, I39-I52)",19513
2001,Males,35,Cerebrovascular diseases,16223
2001,Males,36,Diseases of the respiratory system (J00-J99),17292
2001,Males,88,Influenza,76
2001,Males,48,Pneumonia,4947
2001,Males,75,Chronic lower respiratory diseases,5566
2001,Males,83,Asthma and status asthmaticus,647
2001,Males,18,Diseases of the digestive system (K00-K93),13226
2001,Males,53,"Ulcer of stomach, duodenum and jejunum",486
2001,Males,38,Chronic liver disease,6174
2001,Males,54,Diseases of the skin and subcutaneous tissue (L00-L99),628
2001,Males,81,Diseases of the musculoskeletal system and connective tissue (M00-M99),1387
2001,Males,100,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",164
2001,Males,12,Diseases of the genitourinary system  (N00-N99),3698
2001,Males,64,Diseases of kidney and ureter,2809
